title,min,50%,75%,90%,99%,99.9%,max,mean,duration,reqs,err,read err,timeouts
aiohttp,1.18,96.51,224.71,309.20,466.25,599.83,689.11,147.39,20.08,24431,24431,0,0
aiohttp,109.72,242.65,279.72,329.92,513.11,558.25,591.49,252.59,20.08,15472,0,0,0
aiohttp,149.38,1239.65,1515.54,1882.84,2468.96,2546.16,2570.03,1241.53,20.09,3095,3095,0,0
wsgi,0.06,3.90,4.67,6.56,15.61,30.18,58.24,4.50,20.09,925245,0,0,0
wsgi,160.10,3098.44,3524.21,6680.43,9028.25,9136.70,9136.70,3303.35,20.08,368,0,96,80
wsgi,69.06,707.52,1189.79,4925.40,8119.20,9244.66,9868.56,1579.27,20.09,3912,0,0,0
django,1.62,26.98,29.02,33.53,47.22,172.43,247.24,28.22,20.09,142598,0,0,0
django,165.43,3352.76,3674.47,7296.43,9566.99,9683.38,9683.38,3483.86,20.08,358,0,96,70
django,279.09,1414.26,1887.89,5697.83,9780.69,9879.38,9900.05,2253.04,20.08,1070,0,0,35
flask,0.55,25.78,28.92,37.44,57.38,78.82,242.68,28.12,20.07,142874,0,0,0
flask,172.17,3129.11,3616.41,6858.10,9381.52,9610.19,9610.19,3419.21,20.10,360,0,96,76
flask,71.78,791.64,844.96,2683.91,5966.06,8460.57,8483.99,1163.55,20.07,3385,0,0,0
tornado,4.47,52.10,59.83,74.08,100.74,112.38,122.07,57.37,20.09,69725,0,0,0
tornado,104.93,254.39,283.24,315.05,591.43,692.25,695.78,264.48,20.05,15194,0,0,0
tornado,92.44,844.11,907.00,1022.16,1257.35,2068.26,2099.51,813.76,20.09,4818,0,0,0
sanic,0.17,15.75,19.89,27.08,41.71,57.60,81.92,17.88,20.08,225798,0,0,0
sanic,101.07,232.43,268.79,399.97,546.22,676.25,766.43,248.19,20.06,16054,0,0,0
sanic,26.57,439.19,680.66,700.96,854.18,875.53,875.53,519.37,20.08,252,0,0,0
